Composite Element REF,TCGA-90-9202-01A-01D,TCGA-59-5188-01A-01D,TCGA-73-6321-01A-01D,TCGA-50-7857-01A-01D,TCGA-82-1298-01A-01D,TCGA-40-5269-01A-01D,TCGA-42-4373-01A-01D,TCGA-96-7743-01A-01D,TCGA-58-5018-01A-01D,TCGA-34-9518-01A-01D,TCGA-74-1375-01A-01D,TCGA-89-6019-01A-01D,TCGA-88-6107-01A-01D,TCGA-25-4817-01A-01D,TCGA-22-2972-01A-01D,TCGA-88-1225-01A-01D,TCGA-16-9538-01A-01D,TCGA-98-5189-01A-01D,TCGA-13-2019-01A-01D,TCGA-95-9738-01A-01D,TCGA-95-8019-01A-01D,TCGA-50-2790-01A-01D,TCGA-69-3630-01A-01D,TCGA-13-9006-01A-01D,TCGA-17-3710-01A-01D,TCGA-83-1768-01A-01D,TCGA-50-4760-01A-01D,TCGA-25-1381-01A-01D,TCGA-27-1126-01A-01D,TCGA-91-2424-01A-01D,TCGA-35-5176-01A-01D,TCGA-80-2472-01A-01D,TCGA-26-1685-01A-01D,TCGA-48-4675-01A-01D,TCGA-43-2168-01A-01D,TCGA-36-9731-01A-01D,TCGA-50-4605-01A-01D,TCGA-39-4730-01A-01D,TCGA-33-1982-01A-01D,TCGA-87-9303-01A-01D,TCGA-13-4465-01A-01D,TCGA-57-9094-01A-01D,TCGA-65-2151-01A-01D,TCGA-60-8004-01A-01D,TCGA-55-5565-01A-01D,TCGA-80-6167-01A-01D,TCGA-33-4752-01A-01D,TCGA-92-7696-01A-01D,TCGA-59-9012-01A-01D,TCGA-40-6113-01A-01D,TCGA-76-4631-01A-01D,TCGA-20-6681-01A-01D,TCGA-33-4265-01A-01D,TCGA-99-8915-01A-01D,TCGA-12-7709-01A-01D,TCGA-10-1431-01A-01D,TCGA-11-9322-01A-01D,TCGA-28-7758-01A-01D,TCGA-69-1772-01A-01D,TCGA-83-7837-01A-01D,TCGA-44-5006-01A-01D,TCGA-65-6995-01A-01D,TCGA-51-6811-01A-01D,TCGA-66-3735-01A-01D,TCGA-46-1477-01A-01D,TCGA-17-3772-01A-01D,TCGA-57-5214-01A-01D,TCGA-30-4745-01A-01D,TCGA-84-1006-01A-01D,TCGA-98-1612-01A-01D,TCGA-81-5401-01A-01D,TCGA-99-4217-01A-01D,TCGA-96-7387-01A-01D,TCGA-86-3525-01A-01D,TCGA-16-6698-01A-01D,TCGA-28-3619-01A-01D,TCGA-21-1740-01A-01D,TCGA-28-8151-01A-01D,TCGA-18-8715-01A-01D,TCGA-18-6248-01A-01D
cg016642,0.165021364150073,0.503102274438669,0.287982057253794,0.157620127161932,0.426284330080647,0.674591526684117,0.191561874818619,0.143888401984385,0.332803332409752,0.632346834924092,0.668105526558912,0.390016066981684,0.19676308427043,0.216291861271745,0.445097338462583,0.246894110928689,0.140450811419703,0.202081922100748,0.193599430369403,0.251267942354022,0.259924431453666,0.0454880043754598,0.309529369744613,0.490196034416172,0.419787355234054,0.238785057047487,0.193273897813274,0.448495699671338,0.39122357949885,0.313626628306227,0.307465754425173,0.679442630591997,0.350969985915698,0.108316718863884,0.23364013409798,0.125440830980096,0.415217996171635,0.238871330136549,0.0548332427161447,0.477653175035812,0.417003371953841,0.31637649705405,0.133007849936928,0.166179684304174,0.376353389363604,0.32481549582637,0.187826878030311,0.0905315316165145,0.233112091132769,0.594315030585087,0.124604047999306,0.350601053932523,0.540486769888144,0.0841409902163395,0.380577991590946,0.405945162161674,0.468137835594686,0.693390137264705,0.12580172865371,0.550792151401333,0.419886203180376,0.0737614027690192,0.584094363294948,0.103431894613644,0.366981312424101,0.0472885459158185,0.1363605023002,0.0164623281813729,0.418017804198754,0.199495171945493,0.302180921707732,0.168076487678851,0.377299232401899,0.274043196130014,0.109839060860789,0.325264924359097,0.0504019022441423,0.201530579139855,0.559557058444309,0.0524007164915907
cg083421,0.253571083787486,0.24887488387339,0.212503110115183,0.362810656722401,0.523718929900754,0.081037815869344,0.23457320794282,0.725001102415443,0.510952162760773,0.29440016982166,0.540593868158207,0.39688234134452,0.431970956994828,0.588254912450889,0.297866526114821,0.117379136766192,0.356077435242973,0.05097462417476,0.14452062971135,0.259457038193794,0.511240359942417,0.0989436894512443,0.211326678461136,0.547281452131177,0.217734094111319,0.262179788693234,0.416788508003827,0.0721580752109917,0.0981632134856715,0.0669801915246663,0.256978353205815,0.215219904569728,0.0322266831215322,0.0853055688118516,0.322566465120573,0.120495210665543,0.177524089629341,0.595344609193963,0.175831575422541,0.512711547207454,0.271643204514281,0.55978335755322,0.451160624113137,0.166778084721163,0.379211945153254,0.390439424213077,0.13585347437565,0.124683374202297,0.376383215211924,0.458298901147451,0.139897357171152,0.352743481112881,0.590989471262972,0.214390818992679,0.255734516376902,0.307434549739287,0.632847783084708,0.294991300715953,0.289722972646014,0.135769954817493,0.249278755888823,0.236996034099514,0.490480063400397,0.228142684793798,0.289163757126352,0.0652641787894055,0.334467526546531,0.635588051716489,0.31124867722599,0.319226524701458,0.438936566976483,0.387486139728539,0.0930689850856161,0.484026132613777,0.239833799286317,0.237752355401531,0.65889357270212,0.31780228272058,0.528966982828467,0.331696815587133
cg810549,0.711321054720979,0.0752675462968303,0.535788200718958,0.430876624156644,0.662613884590559,0.456364393797816,0.268379330292817,0.264470546116887,0.567931998505337,0.234662321570151,0.371402167563515,0.152428706744716,0.212041249492898,0.106657584751154,0.268422478426831,0.028054104181337,0.135112262417134,0.208912094672907,0.327452425644298,0.32254661880853,0.228969189695334,0.39782233643488,0.114630786184951,0.558839530436397,0.41193650197611,0.16461690564539,0.468937992349527,0.217885855101392,0.209810279603394,0.0798461139135956,0.313056581948672,0.090798482159348,0.552674131551277,0.193899850506449,0.44811857170923,0.494965810895418,0.56127870463555,0.184153290105155,0.388353090127103,0.279707926589538,0.413256188465435,0.269466271747586,0.454337686845851,0.614562017965749,0.439387865831811,0.163542066329632,0.296674967525069,0.0593788759949622,0.337747838982211,0.451898272158157,0.559164869287686,0.317678412137111,0.165980523060741,0.630525845335931,0.614884323344553,0.437545716821195,0.129559155695011,0.512109774228785,0.096040955543037,0.206396407777048,0.235777132337737,0.563561812571939,0.201881330901898,0.166031577074603,0.0346947964815844,0.149656412172179,0.346897683680625,0.0504056148974423,0.266026064478059,0.330053079188314,0.0581422767846794,0.202059088565396,0.263988283450474,0.243278219198683,0.239993668851456,0.36822182522201,0.131202743790717,0.319459453016422,0.238259079071557,0.291314970449129
cg003463,0.114771773378104,0.130831282431951,0.286291008655067,0.311747676669428,0.182615779867122,0.150489136497517,0.169476767411247,0.0852567879358594,0.0473760809431799,0.574357041581596,0.242384270735595,0.536150385807499,0.310685414356813,0.426362425634237,0.456260077613867,0.606685253405994,0.116921025303511,0.693997132428029,0.418051166772144,0.196441785534921,0.0680910328913029,0.189321870365771,0.120265536933036,0.307005650972492,0.203867875701059,0.0495088163431221,0.157780652967799,0.437407638066235,0.303187129101497,0.113216376722852,0.376779282827732,0.145012318471371,0.323094713677979,0.0793162287324302,0.250794931494286,0.546111153281643,0.310025094632943,0.482797720753257,0.322337283955548,0.243081669846627,0.379112989048416,0.0898458055211402,0.139309300620052,0.295149638083269,0.0646400235147403,0.527769503579262,0.344337304163442,0.0591457678148592,0.169029245586611,0.267888576031503,0.279472765698025,0.18011635679736,0.178579410522216,0.37304655527516,0.338627258145027,0.28120366469216,0.0901412126597966,0.349530020060586,0.261426723177464,0.262097375535717,0.0951612490597092,0.342616506092419,0.211647789661392,0.229892062160152,0.130040838289618,0.185104174125266,0.445329429528059,0.299435005261658,0.0985140849113892,0.230039466541955,0.121232441344475,0.13567783847515,0.145382112953569,0.113536150958612,0.291756324183247,0.0589189215931389,0.255826264982205,0.266199951669199,0.204261014232842,0.106598784000155
cg747390,0.502035040895733,0.552221533740397,0.626744486522905,0.156246539718215,0.571739672969856,0.092381775533426,0.319233619735626,0.286065080449336,0.464434067713197,0.288435556428373,0.510278292987156,0.125516377460087,0.269447007738631,0.107935508916422,0.373681730619471,0.292686995695766,0.118886275337468,0.728883680901182,0.195741645797377,0.307340873555503,0.278774412751869,0.310099217914342,0.143736755727869,0.473752000392696,0.0417378344687642,0.47051212045857,0.344090221074131,0.255810593081234,0.536115278286965,0.196637331019863,0.0717970751384367,0.646508871404234,0.0938825260325911,0.0561692607340101,0.0409437267504659,0.434967122363894,0.295414618740815,0.252474209718709,0.275296875357472,0.237838645042143,0.285483043332805,0.20397058383857,0.683367449807332,0.3200687811441,0.0542649599440356,0.231353542469036,0.148388348338809,0.346303851690763,0.299165648477446,0.131782996569301,0.443226253515579,0.240322673838239,0.284292454228209,0.390034924252177,0.525320987977763,0.32219313021998,0.132882497317439,0.257521168476987,0.432120237096413,0.246123861669141,0.320341739453208,0.381761292825888,0.194471308343962,0.152045383596136,0.46847322721052,0.337378254148592,0.193188367273045,0.156207750696931,0.314000204195386,0.188876013291972,0.353624053236352,0.801064345311649,0.128830689910023,0.203682444762537,0.405005104967369,0.483276466314464,0.158656296222104,0.317112447291245,0.385935621342596,0.198950792668566
cg550333,0.00290720861315575,0.110629562576468,0.294256324781251,0.0701175258655422,0.0916945557400341,0.205792951423466,0.329295761793465,0.161148802830333,0.206920899126943,0.143167161584203,0.388337978232061,0.456067438050497,0.24441692319846,0.35781466619798,0.352852370675451,0.182221837725438,0.076191316123045,0.0721071968691086,0.546488669239478,0.475142628604909,0.345506000777967,0.4476088773692,0.106702771698828,0.186137395471306,0.376195289612608,0.0411647964333722,0.0824270598202026,0.206080875146238,0.0909264613664148,0.430271878652986,0.585629016328906,0.417028348971594,0.0956627179370876,0.238441535825697,0.629043610874884,0.0322326865533269,0.0913122295499381,0.400454969001295,0.0791431990716788,0.0960746461631503,0.502009691931741,0.37157094905522,0.0327709677583173,0.35131072075787,0.192061568692149,0.463940864903708,0.513985002488742,0.190566656892772,0.287555566402954,0.16114691117558,0.58660829287048,0.755394198205768,0.423724049060133,0.228592880695411,0.23198053589446,0.467127614993891,0.0928497217027575,0.484211140722851,0.718435290693848,0.41423202399535,0.314412382369527,0.34684661400527,0.140511311389595,0.229596811934242,0.206927858229029,0.346386357177743,0.207476965620603,0.302268455027896,0.0510977346741066,0.47333713385065,0.323924340458002,0.323787548028056,0.433754164040954,0.143324160645854,0.222695907859883,0.247070154157531,0.429774808964614,0.164188655078329,0.390435338665273,0.29170325544212
cg940415,0.443613971459181,0.278148247277519,0.180094306857256,0.428515896005087,0.0958072384989389,0.256164154769692,0.016939320490483,0.31721492947566,0.46066434073581,0.142224557077755,0.256391726509932,0.0831543656791683,0.271982977500277,0.28274251339091,0.285492085139609,0.625774855759203,0.187496689688393,0.333875347772316,0.272714699702548,0.162814429658701,0.14669763515383,0.300087906976579,0.368519574558988,0.437017537287366,0.284560286257142,0.472279957826556,0.282492688120881,0.295334446500333,0.392815577340652,0.134376459300861,0.204212351053369,0.464960742777047,0.225641803833537,0.262887740283972,0.467724570443782,0.516312504095636,0.224329398426838,0.333926336657243,0.232061662818293,0.0727759399125758,0.188753973341334,0.297230199497535,0.198717679055112,0.404301449777847,0.619878159122276,0.121251300879259,0.260058838064463,0.624117258843228,0.489291052712364,0.0258770876208105,0.218565227224334,0.273564597368252,0.209744902524165,0.179082515794314,0.181297613569124,0.225063886618599,0.184598501243999,0.0904032189171717,0.257583518807006,0.384808566644088,0.3566332027979,0.478615056900778,0.415652597098211,0.243304649018991,0.281193210624995,0.185840224175584,0.42285838355915,0.331836598236102,0.255800263321576,0.350412249651605,0.319710012784969,0.646130539722195,0.11607712233816,0.432274751705688,0.167540869790243,0.388794375778927,0.268120056435894,0.0795520958368065,0.153257033189412,0.273650656576358
cg410658,0.128301429012247,0.323563152858369,0.412409139122553,0.420812002600224,0.0865309632223449,0.131109172205103,0.478744990613151,0.190383933038079,0.560878897965278,0.060350387571129,0.325608086645722,0.570372463948967,0.335177906214,0.34362874689674,0.549764782903935,0.165158564507033,0.263656080972203,0.154558286061694,0.141670320760529,0.464756029034039,0.109552905206532,0.254527205248583,0.267497427796618,0.417373378568432,0.323477842721779,0.189755018185087,0.151201237824519,0.309608438083712,0.0626706250406021,0.178465734737556,0.0510752130382659,0.379351454298582,0.143590145798524,0.294181907559121,0.527570917018177,0.261759667781603,0.0434253197039658,0.206373553849176,0.400860152236023,0.235844078558269,0.0555058568409914,0.130446104528904,0.17307868537281,0.233769778599974,0.380371119794202,0.328150299343627,0.796175313523741,0.0662543966669391,0.148869598772106,0.072409745014904,0.135488138948331,0.411009784585247,0.709239121485603,0.152071260596168,0.386617410320475,0.248265109754903,0.181203805650218,0.271573793931997,0.316150863385643,0.199476192800496,0.191582344413596,0.262913211119873,0.60976826612206,0.135202109461903,0.52966696504236,0.456823556671105,0.389254342631089,0.351567364635875,0.286022951315734,0.161814138765172,0.305203071694438,0.304877978075109,0.314503999298321,0.315503164912873,0.161497880012604,0.591048007240479,0.0919150806795807,0.321488502975629,0.0489702045923669,0.17388321290092
cg634452,0.123168421258195,0.434795816535031,0.178479890465118,0.498701193437696,0.256708147671941,0.294467169981334,0.342403403208859,0.432417970686953,0.317473140201736,0.101377840925743,0.360988825733391,0.153016258292143,0.335422647468272,0.155753468074767,0.563526277533926,0.323331972201583,0.410444937832357,0.39335540352143,0.216521347603161,0.432043985284769,0.101590381107885,0.15615137206298,0.333806593033903,0.306688396875493,0.101640879372554,0.212197262231521,0.748117885767674,0.404530805834886,0.191082831453757,0.0679695850765112,0.303040611514584,0.157677157000172,0.581559657715489,0.309322750483344,0.332698047450553,0.262602672269849,0.0709455601654844,0.0726177926695794,0.28037044920938,0.161531939716537,0.113215454219733,0.332668599848124,0.316303307989698,0.398986306092229,0.246381243123542,0.158667693006049,0.273271290225106,0.10050731179948,0.33053584460643,0.29312004840021,0.0735275654475495,0.392021842445095,0.247790759980936,0.0476949282313091,0.451487207574511,0.591118807317237,0.252081837891754,0.288941756669067,0.104275740260257,0.379709861213831,0.47304331491791,0.161931258947763,0.105242570712365,0.320710721050162,0.193049611782063,0.162100889314175,0.0802697368280492,0.268745311318572,0.106263964393172,0.292255796754933,0.286725620883712,0.101782587948376,0.179686675287752,0.273847445840444,0.261347003692194,0.0774151901369137,0.191287350733801,0.0721895727218772,0.508678187890318,0.188881333775648
cg067103,0.344232535891418,0.458605244363024,0.425638627983062,0.16854368954423,0.549330777927515,0.200619684371856,0.135528973450115,0.470072512554743,0.0966836923850716,0.135583045485601,0.315943130275343,0.538370958753984,0.302087674410692,0.477440851644374,0.316713768573382,0.119205947488604,0.254544842229176,0.327029490656953,0.35918455251362,0.199814436015383,0.386596531105162,0.0635657531715753,0.461579957376522,0.218418153753493,0.266143904593322,0.360818544341238,0.171838431027056,0.248341107797839,0.0665083673691361,0.106621217495441,0.476244122382339,0.418280699852749,0.251942521243634,0.418837658524329,0.55806454877651,0.0136565731473428,0.417930710094222,0.464906949654523,0.151456266185328,0.578603358470505,0.0928883155404936,0.116651842417359,0.417327241835192,0.21815073405754,0.118519205931481,0.255157705354522,0.357162883501956,0.488735428590353,0.199145259333295,0.0454601720594247,0.464969128493664,0.239067055487163,0.345288463345034,0.197037671396882,0.59501358184036,0.175388088222326,0.221238636875364,0.566606040477239,0.183596691484582,0.23600488031867,0.560395357090534,0.18048548636975,0.389693952711301,0.0508515933275823,0.13721086929599,0.187367678715782,0.231304857832098,0.267351130867713,0.172255038103055,0.330192750239652,0.391969315836024,0.676753372018069,0.221676062103575,0.459849543091504,0.2931308226419,0.193905292967017,0.190365521351231,0.500643246370843,0.277028863610785,0.429334330317463
