Composite Element REF,TCGA-77-1548-01A-01D,TCGA-21-4427-01A-01D,TCGA-10-4012-01A-01D,TCGA-29-2024-01A-01D,TCGA-32-4800-01A-01D,TCGA-33-8441-01A-01D,TCGA-45-5955-01A-01D,TCGA-29-6225-01A-01D,TCGA-85-2303-01A-01D,TCGA-56-3320-01A-01D,TCGA-82-5795-01A-01D,TCGA-16-7842-01A-01D,TCGA-64-5267-01A-01D,TCGA-62-3310-01A-01D,TCGA-56-7009-01A-01D,TCGA-91-6948-01A-01D,TCGA-99-4529-01A-01D,TCGA-33-8432-01A-01D,TCGA-32-3336-01A-01D,TCGA-57-5310-01A-01D,TCGA-61-4659-01A-01D,TCGA-45-7809-01A-01D,TCGA-88-6847-01A-01D,TCGA-94-2292-01A-01D,TCGA-19-1304-01A-01D,TCGA-27-2225-01A-01D,TCGA-45-4319-01A-01D,TCGA-15-4942-01A-01D,TCGA-95-7439-01A-01D,TCGA-19-4904-01A-01D,TCGA-62-7242-01A-01D,TCGA-96-9147-01A-01D,TCGA-38-3285-01A-01D,TCGA-71-7543-01A-01D,TCGA-89-8648-01A-01D,TCGA-88-5760-01A-01D,TCGA-96-1499-01A-01D,TCGA-93-7422-01A-01D,TCGA-88-3123-01A-01D,TCGA-54-3686-01A-01D,TCGA-59-7576-01A-01D,TCGA-61-6872-01A-01D,TCGA-84-7358-01A-01D,TCGA-47-7908-01A-01D,TCGA-39-8350-01A-01D,TCGA-21-5014-01A-01D,TCGA-88-9038-01A-01D,TCGA-78-4429-01A-01D,TCGA-49-9447-01A-01D,TCGA-14-7596-01A-01D,TCGA-18-1073-01A-01D,TCGA-87-8449-01A-01D,TCGA-58-9599-01A-01D,TCGA-23-6602-01A-01D,TCGA-14-2782-01A-01D,TCGA-32-4702-01A-01D,TCGA-13-7351-01A-01D,TCGA-66-1395-01A-01D,TCGA-34-5566-01A-01D,TCGA-26-2739-01A-01D,TCGA-14-4562-01A-01D,TCGA-35-4627-01A-01D,TCGA-87-3601-01A-01D,TCGA-51-8686-01A-01D,TCGA-20-8869-01A-01D,TCGA-12-3875-01A-01D,TCGA-54-2592-01A-01D,TCGA-41-4840-01A-01D,TCGA-94-9365-01A-01D,TCGA-94-2004-01A-01D,TCGA-49-7835-01A-01D,TCGA-57-5823-01A-01D,TCGA-47-8252-01A-01D,TCGA-40-8558-01A-01D,TCGA-64-7180-01A-01D,TCGA-27-4636-01A-01D,TCGA-18-5154-01A-01D,TCGA-71-2144-01A-01D,TCGA-68-6387-01A-01D,TCGA-84-8729-01A-01D
cg919438,0.286000751809215,0.238332876587353,0.290053381916985,0.217017402878511,0.521872007661417,0.0891985774823529,0.299461033906525,0.396254830716676,0.110438756238737,0.306814416106145,0.465264063475363,0.123863054828717,0.426084809266751,0.384736188140776,0.441088759936361,0.181920625353022,0.2388173110843,0.644164379409146,0.153203107432163,0.0655308263116467,0.393892150421197,0.215515044263595,0.400362946972988,0.61670790023748,0.179072810399289,0.182804253838645,0.304887010034854,0.208021016515866,0.169817189383636,0.0965916439496674,0.499696471110807,0.511824494264819,0.260179722674494,0.111837691991937,0.375225081614578,0.198549857472118,0.29967422178734,0.214161430404015,0.0763474817336755,0.326097095634048,0.587735812049367,0.196720541266905,0.343199520229078,0.439894267416058,0.0562018108369477,0.153508349402794,0.354806621203088,0.214922305992601,0.0348596132036455,0.194452134667029,0.23119418557388,0.0407400758238153,0.144133827127413,0.259427496530911,0.399214167041221,0.271517633014285,0.128128682932587,0.470121661293165,0.205824292889447,0.47363296268883,0.136269865754487,0.150859736804728,0.128616453947706,0.0875957301477535,0.216933762858847,0.233166106892517,0.560999939604652,0.280456051420324,0.440353259411163,0.328698673674919,0.279347544029572,0.5746668656993,0.343477658143721,0.168744338767537,0.22261373716699,0.424501728522843,0.281317750289423,0.348586289095006,0.0854449431952245,0.219187156239209
cg888943,0.16732034716745,0.110842448076863,0.281228067095249,0.434359685238659,0.517706816031314,0.30286428886378,0.33763283380907,0.331588294733148,0.615182807162905,0.421777055174078,0.332630183751891,0.473173935085965,0.600646694547314,0.398989519875356,0.260615035974261,0.549338905581745,0.0470562985675751,0.305694842701966,0.213383794753139,0.302698497467265,0.383146306460258,0.204104101947355,0.220560194001974,0.188299289572454,0.446893236576578,0.32256036293701,0.0668586634993096,0.178388574285686,0.169586047140115,0.105684294855486,0.275123546815782,0.292976129834449,0.237062025044684,0.816204158907801,0.0467115130769585,0.540588720414264,0.238822511575239,0.294772513713079,0.450275694799671,0.311570945782065,0.270252237160893,0.524782115795485,0.349081036382054,0.244839166635268,0.186631977320626,0.154764368461146,0.138325410689435,0.0800239478982983,0.242258908454946,0.193922328562537,0.108161429291136,0.224326801748867,0.0983855044573215,0.428763338460329,0.189099616658785,0.390819911772855,0.70992497455396,0.244438396101113,0.362167798741674,0.321172116647881,0.773169555647543,0.077614109477762,0.178179881176541,0.173327132707374,0.281442336077719,0.214155736842158,0.462340221163568,0.203824640753722,0.353215406258575,0.352704761766153,0.246850554902643,0.27218820341137,0.663479012168716,0.286985202655097,0.305155826456518,0.147137488253892,0.357142415552761,0.280347950392622,0.512982995103207,0.324245441557901
cg195563,0.356621731590996,0.323136781686109,0.221141111965488,0.292204179860488,0.252140604808007,0.247614446975442,0.267217715565647,0.441936415182419,0.0752647759560765,0.437452227606549,0.519172929937705,0.240635800920844,0.184431227669722,0.194917898837089,0.450211419222786,0.319082041744359,0.0882265929740286,0.308785286691928,0.287074846470973,0.668011936115071,0.306566874331451,0.191834889522172,0.590532211652914,0.517614483273155,0.0717126433052448,0.0627285356852956,0.0801512087819615,0.287254351229111,0.238454480722001,0.281162550855341,0.295686218427907,0.260043542480552,0.100073933908297,0.246621489380335,0.505426482385757,0.161369494050152,0.119988239826854,0.445857997543728,0.438193513405573,0.230914776362105,0.149746810408575,0.0783958463426727,0.165881175755383,0.167447402367044,0.397980990520163,0.398262435777547,0.292200867122132,0.265039884286177,0.573556206557549,0.405393622108387,0.35919642256534,0.351765835274877,0.100203178593163,0.221491583845861,0.475800081985715,0.413106408563222,0.124461040832966,0.352147102117459,0.142935814058084,0.475454233151203,0.12302600633555,0.356317394617521,0.182422720456519,0.416663595687863,0.14468983626138,0.292666625872747,0.261578330646284,0.193821380825279,0.464972427829333,0.111900210004399,0.328306933799304,0.185853320091462,0.520520205959509,0.167264510837292,0.578757780003528,0.418010338614924,0.116129066311727,0.177190913294503,0.358079798032541,0.218582021198395
cg614989,0.254193717187697,0.319013944741943,0.786223841061629,0.186054687212869,0.301974962048119,0.126254195996415,0.310678867706543,0.238890666110649,0.50213799945808,0.694220513026386,0.282516209969588,0.128134344840771,0.693750467143921,0.426519833585535,0.26828977891725,0.389628876465923,0.0516396232239708,0.329273812726324,0.309248705852848,0.104807953335228,0.505839172245386,0.084149827670872,0.311424668906805,0.0889275001053519,0.467783251908146,0.46067426681037,0.323681665627949,0.20129173404947,0.390968257714655,0.551035518426025,0.191460577778456,0.320641142458591,0.147917847859662,0.523595626208573,0.24058441426398,0.591565964627796,0.481092397997206,0.336638119824753,0.165262659938005,0.552606267605363,0.397169723625621,0.102581897986114,0.661043881133491,0.246722882240231,0.599163807484368,0.18578878728365,0.2132227789584,0.39145239935795,0.206788954536615,0.0682805351492339,0.399744262288545,0.29418489323051,0.139000301469981,0.245640293652416,0.598286056688094,0.53627641561599,0.461584047644455,0.374037294730638,0.207474747466259,0.302982831505965,0.446822048436552,0.502494025404211,0.322618984901653,0.185074937012638,0.201359004190773,0.650314706253802,0.0677818948423922,0.0911463835434378,0.233847679652332,0.256124154025074,0.101551702287675,0.352362689065529,0.150877726948819,0.408250239802343,0.27950583710965,0.310680899642331,0.234135065379461,0.206404991521754,0.312370166424027,0.639418083109744
cg498362,0.454822528563564,0.407281274396008,0.420713373615458,0.248459706700898,0.357078900802629,0.372645493545623,0.199762624414198,0.224762275737897,0.660300422454659,0.177421599368342,0.280640678952578,0.352605529527329,0.521861184221564,0.458357316767811,0.520394595833432,0.273503755425552,0.281703341051574,0.530929918384103,0.106272429891914,0.51006532687614,0.0941627765389279,0.477490361873479,0.268307900468536,0.383304240152241,0.157831656081524,0.208218277636758,0.153195808327295,0.18650951810386,0.404325700091622,0.596412337090001,0.18917042898255,0.109500443856075,0.340423475484738,0.529069746764057,0.377049899846009,0.234673994781326,0.200451443156365,0.0543834705866006,0.117131913412843,0.128722188772625,0.0402879597017134,0.446801478994723,0.391187233283179,0.294878769440513,0.669471384883421,0.0659650980206994,0.491436574912878,0.434459547913696,0.17162135184391,0.150852488738496,0.46074689939639,0.31270191050917,0.142967810874749,0.2863489467437,0.0931531345016728,0.054955676909085,0.345730177644203,0.211407953058877,0.54631197993457,0.265075911727262,0.132109334530792,0.397158975059429,0.264037416136279,0.217843386025512,0.474325871296129,0.376573523100846,0.36762038645168,0.235816424382134,0.245124448974553,0.124593679850957,0.367685320350903,0.354084903007884,0.202605769010727,0.0269275752517505,0.143541887184176,0.666282209602179,0.470460880753693,0.054379045216644,0.261113295362252,0.225267153239467
cg183555,0.297374185628421,0.180450377599895,0.0918325531778196,0.38298652326518,0.643260206849832,0.532817191149377,0.237919056757893,0.504554627510655,0.491078963716232,0.0383885258330841,0.215469674438894,0.332975025501364,0.520879455874589,0.528536942529075,0.521709716205419,0.050257136605056,0.560085915754574,0.0552232795869191,0.15912781001312,0.142509348486131,0.141354838546212,0.616438170183357,0.241766490397996,0.0420908767092519,0.443217129089747,0.252637127241968,0.264404431315667,0.311016722727452,0.274746034753835,0.201080386448025,0.0172564880915965,0.0641619501614277,0.198825588521279,0.323012761482476,0.126888904428464,0.152618692674532,0.315985537668166,0.0855148942571092,0.426875262353532,0.311400826874772,0.207007364284156,0.242859561840901,0.339632451813369,0.532554750235396,0.0956957739657605,0.686405443256839,0.202658572965024,0.471087400411902,0.301522418229546,0.219221747932962,0.16648061415359,0.43078502744732,0.221722865021855,0.344539967294676,0.0835819885272713,0.0718290400118898,0.156548391074727,0.257474310291759,0.222888011458257,0.182122366582902,0.149050616589909,0.168381034895121,0.540284325604322,0.298829514512379,0.151864245375425,0.470793271932592,0.152983872381214,0.452690434172348,0.147443891361154,0.432000326810194,0.114222494615317,0.427773091808126,0.0908336547167072,0.25192012552553,0.215183613131057,0.231863935749853,0.157165275394237,0.626108689881149,0.306539431007068,0.236050440354511
cg240348,0.186222141616977,0.258276924321591,0.054513877454635,0.556791073947577,0.234007305006162,0.291836414036534,0.446184539100759,0.153830693298026,0.696323467879208,0.43064732970128,0.241169340102899,0.332878781060523,0.486654929348133,0.501271261320891,0.450583473495734,0.432316177960424,0.0338764301636373,0.478534140818025,0.221533381983169,0.0468112188290573,0.261151606208694,0.263951234801808,0.749686289892511,0.134177103570708,0.109643581111549,0.15946650989462,0.33279086664438,0.0684992565928857,0.231754293294813,0.221325492570779,0.190395552152475,0.209192359047964,0.174749386740279,0.216611627788422,0.405115458933047,0.335385940004036,0.0516189680160854,0.424944804194726,0.354397515929517,0.349976623112677,0.21455662605495,0.162547863173985,0.438215164968972,0.199173211089113,0.634995933370959,0.189775276151374,0.566141587889911,0.42013818729907,0.199842529987222,0.481626106470947,0.075843448132121,0.19831851612018,0.321596532714013,0.198497069118827,0.416733028259664,0.235133965288202,0.617423677355163,0.120643213590401,0.18314865239013,0.438842781032041,0.0872789152262025,0.195382733177768,0.586037859529529,0.504517964077124,0.105666296707793,0.21343474634584,0.176157234786857,0.207339553559517,0.454359750192766,0.362281278574079,0.367164536526092,0.349346957703077,0.197344331782162,0.376466579817077,0.0757819363276511,0.250410079926369,0.483035356481491,0.0462940608315914,0.382674154029538,0.2553854484293
cg168723,0.38273992198251,0.136445239825612,0.357595986517791,0.182701611328811,0.219008638649148,0.3179968094834,0.534921055065919,0.262900804682359,0.196109374590208,0.404502857439213,0.290666715921529,0.404898571247787,0.143670065767849,0.154488090219176,0.492593906535916,0.0710710217980007,0.132908034531489,0.245171423796644,0.204947486863623,0.219909014723016,0.407435879435877,0.371610958220753,0.422022736484857,0.290453613753532,0.0737377328158553,0.606412768831537,0.0914528511758158,0.277278692409383,0.192825460982203,0.106886672356194,0.244553602751917,0.421398513647366,0.643134824456789,0.670102068544513,0.269180033105711,0.243417196710958,0.366109980417027,0.155987231924085,0.189531833915663,0.358331122340403,0.249134979988372,0.348095759350832,0.0780661311791113,0.532600442415952,0.267379787390071,0.169572972394373,0.0247654449045302,0.229224151288897,0.125051837860953,0.127736289165077,0.304748970386022,0.0567863369590763,0.183815661305876,0.642597741836906,0.325517536530182,0.0228021741239735,0.298388233018788,0.485682761172284,0.157733437017027,0.273530167446388,0.4253944984432,0.303348840494161,0.0554755201659383,0.0985143582080919,0.612929673657253,0.417622792867671,0.312697811594792,0.290930929646168,0.333137006553251,0.108571896191569,0.26497190444425,0.164429928385824,0.136990351853715,0.397499743985204,0.213798670486555,0.190081137736313,0.357486101383704,0.635702225654928,0.175277492377401,0.210922063062832
cg803054,0.174833319046783,0.288022434221876,0.152190221600197,0.418027044128664,0.0590552026065115,0.597470203732844,0.31822808997308,0.341836450701637,0.114434414040996,0.689024501018817,0.475519627356829,0.216838677279385,0.608300969300908,0.197978935954547,0.129913664326482,0.336659307271679,0.325159018456527,0.373104828184453,0.200664140502726,0.451595558108347,0.358588763133789,0.289084005698953,0.0907349481309789,0.109595205398614,0.388767084180259,0.288418899972579,0.452919908873482,0.120294754768723,0.492607862987301,0.664489989754335,0.38198912973485,0.247507571706245,0.25367493787678,0.0324619101101042,0.324262078748857,0.438138879020335,0.321970480607699,0.336424334345019,0.522571954539846,0.104541737179785,0.343447038451919,0.646167121397669,0.0517151205239213,0.406399868755404,0.325251192705367,0.166329606902783,0.144003241072541,0.364031297042664,0.203708672918912,0.345084867224172,0.186214863108482,0.0658057985506838,0.0655596550167546,0.336078521034663,0.248083287532181,0.669679476799329,0.467050123069918,0.13030934417254,0.447930889705728,0.328375154345813,0.59552607280909,0.339672590663213,0.283818778792305,0.132072348200733,0.13530820000406,0.4823855030588,0.227680972810611,0.364198795760701,0.36742371287114,0.205801660019725,0.12673440175971,0.273158955703653,0.249021963789803,0.213035455217398,0.12665510108353,0.382749832070728,0.0799527489871547,0.278502070186228,0.208022319511407,0.25201612269347
cg177811,0.134116065903134,0.0810068520354177,0.43661904116109,0.504025508916817,0.247935272993784,0.255854366889393,0.384711739395046,0.12976966371844,0.278295811946455,0.46332642812935,0.140847890959521,0.239788350426664,0.113855932523203,0.0953316638003746,0.559219063608721,0.410937541258381,0.29582002599792,0.239726785090351,0.434218888296064,0.418623897426141,0.188859599198213,0.298511018427171,0.366188914505412,0.389871905912591,0.444114943120811,0.316257993430501,0.132377455339048,0.218833262147442,0.348062667436308,0.334207071336932,0.169217367615701,0.0763065480857412,0.150023648347004,0.36006889593923,0.479210156147714,0.373968034609555,0.303535903720123,0.14163395097521,0.0829411247222792,0.218552137671389,0.589463660440343,0.144586314573493,0.135285168739932,0.319759655412488,0.32973723075937,0.697284091280178,0.307580617042907,0.11023414268186,0.207854476849525,0.278370309670244,0.401856330707143,0.421205592433176,0.321516769102191,0.503299382693666,0.232403431917532,0.295138195868087,0.765299607599132,0.121476210186677,0.558122368295964,0.392657775857862,0.161150382811211,0.107278354956593,0.14910086769591,0.0954398957992755,0.768900034240818,0.0367711471442344,0.179890385003507,0.293906436297385,0.122051754114346,0.650992267529744,0.0596981065634899,0.774612959220737,0.422117791238245,0.725034103750342,0.282739357163248,0.208698652624675,0.506208988636432,0.197242380704976,0.322637700271372,0.447504916403783
