Cohort,Gene,Probe,Region,Delta_Beta,P_value,N_Tumor,N_Normal,Direction,FDR
LUSC,WRAP53,cg036684,5'UTR,,,80,0,,
LUSC,CDK11,cg070198,5'UTR,,,80,0,,
LUSC,MAGP1,cg078633,TSS200,,,80,0,,
LUSC,CDK11A,cg085072,TSS1500,,,80,0,,
LUSC,MAGP,cg117423,1stExon,,,80,0,,
LUSC,PRKCZ,cg180582,5'UTR,,,80,0,,
LUSC,CDC2L2,cg184628,5'UTR,,,80,0,,
LUSC,CDK11,cg198130,1stExon,,,80,0,,
LUSC,WRAP53,cg345633,TSS1500,,,80,0,,
LUSC,WRAP73,cg421443,1stExon,,,80,0,,
LUSC,CDK11,cg520913,TSS1500,,,80,0,,
LUSC,WRAP73,cg568202,TSS200,,,80,0,,
LUSC,CDK11,cg580630,1stExon,,,80,0,,
LUSC,WRAP53,cg614989,1stExon,,,80,0,,
LUSC,CDK11A,cg616322,TSS1500,,,80,0,,
LUSC,MFAP2,cg659011,TSS1500,,,80,0,,
LUSC,PRKCZ,cg716662,TSS1500,,,80,0,,
LUSC,WRAP73,cg726115,TSS1500,,,80,0,,
LUSC,MFAP2,cg760621,TSS1500,,,80,0,,
LUSC,PKC2,cg785506,1stExon,,,80,0,,
LUSC,CDC2L2,cg811637,TSS200,,,80,0,,
LUSC,CDC2L2,cg812552,1stExon,,,80,0,,
LUSC,MAGP1,cg816104,5'UTR,,,80,0,,
LUSC,CDK11A,cg835780,1stExon,,,80,0,,
LUSC,PKC-ZETA,cg855085,TSS200,,,80,0,,
LUSC,PKC2,cg923760,TSS200,,,80,0,,
LUSC,PKC-ZETA,cg926137,TSS200,,,80,0,,
LUSC,PKC2,cg948250,TSS200,,,80,0,,
