"category","exposure","outcome","n_snps","n_harmonized","extraction_strategy","beta","se","pval","or","or_lci","or_uci","or_95ci","heterogeneity_p","pleiotropy_p","fdr_pval","significant_fdr","significant_nominal"
"Metabolic","circulating_leptin","Lung cancer",4,4,"Standard",-0.10974156470841,0.0862926637185815,0.203466614983395,0.89606568037092,0.756634336184716,1.06119120576439,"0.896 (0.757-1.061)",0.555692710477676,0.670194216606792,0.67822204994465,FALSE,FALSE
"Metabolic","circulating_leptin","Lung adenocarcinoma",4,4,"Standard",-0.0883778746931793,0.127436362914425,0.487992099226014,0.915414899235194,0.71308607325194,1.17515187741678,"0.915 (0.713-1.175)",0.335144176747044,0.400170475356923,0.864844394415817,FALSE,FALSE
"Metabolic","circulating_leptin","Squamous cell lung cancer",4,4,"Standard",0.0315633658264562,0.137023025812995,0.817819176519417,1.03206677128762,0.788989895633039,1.35003227074464,"1.032 (0.789-1.350)",0.933598942089043,0.754198105273601,0.945974499060275,FALSE,FALSE
"Metabolic","vitamin_D","Lung cancer",115,112,"Standard",0.0152776481950315,0.0485015818204068,0.752767134154946,1.01539494805627,0.92331442024025,1.11665850541997,"1.015 (0.923-1.117)",0.000305663483393211,0.0996755229401443,0.945974499060275,FALSE,FALSE
"Metabolic","vitamin_D","Lung adenocarcinoma",115,115,"Standard",0.0800032995801616,0.0617733031792195,0.195281856335423,1.08329064207337,0.95975966516317,1.22272133097428,"1.083 (0.960-1.223)",0.0153472787081479,0.259659462911664,0.67822204994465,FALSE,FALSE
"Metabolic","vitamin_D","Squamous cell lung cancer",115,115,"Standard",-0.00478572417443558,0.0716087278740054,0.946715785190803,0.995225709157306,0.864902209703126,1.14518635870712,"0.995 (0.865-1.145)",0.00900807432274579,0.335041095204243,0.964970099221813,FALSE,FALSE
"Metabolic","HbA1c","Lung cancer",403,366,"Standard",0.029876666730102,0.0366856322485698,0.415417589743505,1.03032745246321,0.958843726059319,1.10714043430437,"1.030 (0.959-1.107)",2.47018505708435e-09,0.290185460437813,0.83083517948701,FALSE,FALSE
"Metabolic","HbA1c","Lung adenocarcinoma",403,379,"Standard",-0.0768650628984241,0.0445708378056845,0.0846068828527248,0.92601479892941,0.848552005573458,1.01054903200278,"0.926 (0.849-1.011)",0.00761289043084543,0.771721652154558,0.543901389767517,FALSE,FALSE
"Metabolic","HbA1c","Squamous cell lung cancer",403,379,"Standard",0.0646083547038198,0.0559108549805346,0.247861125162175,1.06674115840498,0.956019545498111,1.19028601914442,"1.067 (0.956-1.190)",8.16466219751602e-07,0.347711838493914,0.726473393785282,FALSE,FALSE
"Metabolic","ApoB","Lung cancer",189,177,"Standard",-0.0279957273968102,0.0318951452383661,0.380083425938566,0.97239252143976,0.913465005490217,1.03512144424683,"0.972 (0.913-1.035)",1.09746248554405e-06,0.128433670520025,0.83083517948701,FALSE,FALSE
"Metabolic","ApoB","Lung adenocarcinoma",189,185,"Standard",0.0124357992051213,0.0389942606881085,0.749792047624298,1.01251344528592,0.938011610853797,1.0929326087463,"1.013 (0.938-1.093)",0.000518920697406305,0.278967289053577,0.945974499060275,FALSE,FALSE
"Metabolic","ApoB","Squamous cell lung cancer",189,185,"Standard",-0.0612941509297797,0.0454223297334677,0.177199621565992,0.940546536443538,0.860430944310015,1.02812177207937,"0.941 (0.860-1.028)",0.000119085614221392,0.149396270986525,0.67822204994465,FALSE,FALSE
"Metabolic","ApoA1","Lung cancer",284,270,"Standard",0.0119510416062078,0.0278741678979407,0.668105375123093,1.01202274064532,0.958215740537563,1.06885118272916,"1.012 (0.958-1.069)",0.00247006980929586,0.712563711443969,0.93801660629874,FALSE,FALSE
